Input,sentiment,probability,positive_topics,negative_topics
사진보다는 색상 진해서 아련아련하진 않네오ㅎㅎ 그렇지만 제 입술색상 딱 비슷한 색상 이라 너무 이뻐요 착색 처음 발색 되는 색상 되지 않는 게 살짝 아쉽..ㅎ,positive,0.8,"색상,비슷함",착색
이 온라인 강의는 내용이 알차고 강사의 설명이 이해하기 쉬웠어요.,positive,0.9,"온라인,강의,내용,강사,설명",
제품의 디자인은 훌륭하지만 기능이 부족해요.,neutral,0.5,"제품,디자인",기능
영화는 특별히 나쁘지도 좋지도 않았어요. 그냥 그랬어요.,neutral,0.5,,"그냥,그랬어요"
제품은 기대 이하에요. 너무 빨리 고장났어요.,negative,0.1,,"제품,고장"
너무 맘에 드네요 ㅎㅎ좀 매트하긴 라지만 발색 좋고 색상이 너무 예뻐요 강추 합니다,positive,0.9,"발색,색상",매트
식당 음식이 정말 별로였어요. 너무 싱겁고 가격도 비쌌어요.,negative,0.1,,"음식,가격"
마음에 들어요 발림 좋고요 ㅇ 립스틱인데 틴트처럼 쓱쓱 발려요 지속력도 괜찮아요 무엇보다 색깔이 흔하지 않아서 정말 맘에 드네요,positive,0.9,"발림,지속력,색깔",
넘나 이쁘고 발색 발림성 다 좋아요 잘 산 거 같아요,positive,0.95,"이쁨,발색,발림성",
이번 스마트폰의 디자인은 마음에 드는데 성능은 별로에요. 배터리 수명이 너무 짧고 카메라 화질도 떨어져요.,neutral,0.4,디자인,"성능,배터리,수명,카메라,화질"
"앱의 인터페이스는 직관적이지만, 자주 충돌해요.",neutral,0.4,"앱,인터페이스",충돌
책은 재미없어요. 너무 지루해요.,negative,0.1,,"책,지루함"
새로 출시된 소프트웨어는 사용하기 쉬워서 좋아요.,positive,0.85,"소프트웨어,사용하기,쉬움",
그냥 그랬어요. 특별히 좋지도 나쁘지도 않았어요.,neutral,0.5,,"그냥,그랬어요"
이 책은 너무 지루했어요. 읽다가 중간에 포기했습니다.,negative,0.1,,"책,지루함"
이번 전시회는 정말 인상적이었어요. 다양한 작품들이 너무 좋았어요.,positive,0.87,"전시회,작품들",
이 제품은 품질이 너무 떨어져요. 몇 번 사용하지도 않았는데 고장났어요.,negative,0.12,,"제품,품질,고장"
새로운 소프트웨어 업데이트가 너무 좋습니다. 사용이 훨씬 편리해졌어요.,positive,0.9,"업데이트,사용,편리",
호텔은 정말 형편없어요. 방이 더럽고 서비스도 나빴습니다.,negative,0.1,,"호텔,방,서비스"
그냥 6호 시키면서 같이 시킨 건데 더 맘에 들어요 여주인공 색상 보다 붉은기가 더 있어서 저한테 잘 받는 거 같아요 요새 쓰기에도 좋아요,positive,0.85,"색상,붉은기",
